施設種別,地区,保育園名,所在地,緯度,経度,種別,電話番号,入園可能月齢,保育年齢別定員　0歳,保育年齢別定員　1歳,保育年齢別定員　2歳,保育年齢別定員　3歳,保育年齢別定員　4歳,保育年齢別定員　5歳,保育年齢別定員　合計,短時間保育開始時間,短時間保育終了時間,標準時間開始時間,標準時間終了時間,延長保育対象月齢,延長保育,休園日,運営事業者(指定管理者),保育園ホームページ
認可保育園,芝,芝保育園,東京都港区芝五丁目18番1-101号,35.6484,139.747716,区立,03-3455-4669,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,22：00まで,日・祝・年末年始,,
認可保育園,芝,神明保育園,東京都港区浜松町一丁目6番7号,35.658802,139.757421,区立,03-5733-6822,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,6：15から22：00まで,1歳の誕生日,,
認可保育園,芝,芝公園保育園,東京都港区芝公園二丁目7番3号,35.654291,139.750533,区立,03-3438-0435,57日,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,芝,アスク芝公園保育園,東京都港区芝二丁目12番16号,35.651603,139.752593,私立,03-5439-9398,57日,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,芝,太陽の子三田保育園,東京都港区三田一丁目2番18号　TTD PLAZAビル2階,35.655004,139.740635,私立,03-5439-6390,57日,,,,,,,,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始,,
認可保育園,芝,グロ-バルキッズ虎ノ門保育園,東京都港区虎ノ門三丁目19番13号　虎ノ門スピリットビル3階,35.663091,139.74683,私立,03-6453-9325,57日,,,,,,,,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始,,
認可保育園,芝,あい保育園赤羽橋,東京都港区三田一丁目3番31号　Forecast三田 2階,35.654526,139.74357,私立,03-5473-7668,57日,,,,,,,,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,南麻布保育園,東京都港区南麻布四丁目2番29-101号,35.647872,139.72407,区立,03-3442-8068,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,本村保育園,東京都港区南麻布丁目四丁目6番7号,35.651113,139.727587,区立,03-3444-2385,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,西麻布保育園,東京都港区西麻布二丁目13番3号,35.660833,139.722718,区立,03-3409-4924,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,麻布保育園,東京都港区六本木五丁目16番46号,35.660657,139.735091,区立,03-5545-7135,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,飯倉保育園,東京都港区東麻布一丁目21番2号,35.655912,139.743532,区立,03-3583-1786,3か月,,,,,,,,9:00,17:00,7:15,18:15,1歳の誕生日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,まなびの森保育園麻布,東京都港区南麻布一丁目8番11号　東町小学校内,35.650887,139.735832,私立,03-3455-3066,57日,,,,,,,,8:30,16:30,7:15,18:15,1歳の誕生日 の翌日,20：15まで,日・祝・年末年始,,
認可保育園,麻布,あい保育園南麻布,東京都港区南麻布二丁目11番10号　OJビル3階,35.647686,139.735729,私立,03-6453-7970,57日,,,,,,,,9:00,17:00,7:15,18:15,57日,20：15まで,日・祝・年末年始,,
